번호,분류,질문,선택지1,선택지2,선택지3,선택지4,정답,해설
1,Database 개념,데이터베이스(Database)에 대한 설명으로 가장 적절한 것은?,① 개인적으로 사용할 목적으로 분산되어 관리되는 데이터의 집합,② 공유되어 사용될 목적으로 통합되어 관리되는 데이터의 집합,③ 임시로 저장되는 캐시 데이터의 집합,④ 백업을 위한 데이터의 복사본,②,데이터베이스는 '공유'되어 사용될 목적으로 통합되어 관리되는 '데이터의 집합'입니다.
2,Database 개념,DBMS(Database Management System)의 역할로 적절하지 않은 것은?,① 데이터베이스를 운영하고 관리하는 소프트웨어,② 여러 명의 사용자가 데이터베이스에 동시에 접근 가능하도록 지원,③ 데이터의 백업과 복구 기능 제공,④ 애플리케이션의 사용자 인터페이스 디자인 제공,④,"DBMS는 데이터베이스 관리를 담당하며, 애플리케이션의 UI 디자인은 DBMS의 역할이 아닙니다."
3,Database 개념,관계형 DBMS(RDBMS)의 특징으로 옳지 않은 것은?,① 하나 이상의 테이블로 구성,② 테이블 간에 서로 연결된 데이터를 가짐,③ SQL로 제어 가능,④ 계층형 구조로만 데이터를 저장,④,"RDBMS는 테이블 형태의 관계형 구조로 데이터를 저장하며, 계층형 구조는 다른 데이터베이스 모델입니다."
4,SQL 언어,SQL(Structured Query Language)에 대한 설명으로 틀린 것은?,① 데이터베이스에 접근하고 조작하기 위한 표준 언어,② 국제표준화기구에서 SQL 표준을 정하여 발표,③ 모든 DBMS에서 동일한 SQL 문법만 사용,"④ 데이터를 정의하고, 조작하고, 제어하는 기능 포함",③,각 DBMS별로 표준 SQL에서 약간의 기능적 특성을 반영하여 사용합니다.
5,SQL 언어,다음 중 DML(Data Manipulation Language)에 해당하는 명령어가 아닌 것은?,① SELECT,② INSERT,③ UPDATE,④ CREATE,④,"CREATE는 DDL(Data Definition Language)에 해당하며, DML은 SELECT, INSERT, UPDATE, DELETE 등입니다."
6,SQL 언어,DDL(Data Definition Language)에 해당하는 명령어는?,① SELECT,② INSERT,③ COMMIT,④ DROP,④,"DDL은 데이터 정의어로 CREATE, ALTER, DROP, TRUNCATE, RENAME 등이 있습니다."
7,테이블 구조,테이블의 구성요소가 아닌 것은?,① 컬럼(Column),② 행(Row),③ 데이터 타입,④ 프로시저(Procedure),④,"테이블은 컬럼(열), 행(로우), 데이터 타입, 컬럼 속성 등으로 구성되며, 프로시저는 별도의 데이터베이스 객체입니다."
8,데이터 타입,NUMBER 데이터 타입에 대한 설명으로 옳은 것은?,① 최대 2000 byte의 고정 길이 문자 저장,② 0을 포함한 음수와 양수 등의 숫자를 저장,③ BC 4712년부터 AD 9999년까지의 날짜를 저장,④ TRUE/FALSE 값만 저장,②,NUMBER는 0을 포함한 음수와 양수 등의 숫자를 저장하는 데이터 타입입니다.
9,데이터 타입,CHAR와 VARCHAR2의 차이점으로 옳은 것은?,"① CHAR는 가변 길이, VARCHAR2는 고정 길이","② CHAR는 고정 길이, VARCHAR2는 가변 길이","③ CHAR는 숫자만, VARCHAR2는 문자만 저장",④ 두 타입은 완전히 동일함,②,"CHAR는 고정 길이 문자(최대 2000byte), VARCHAR2는 가변 길이 문자(최대 4000byte)를 저장합니다."
10,데이터 타입,DATE 데이터 타입에 대한 설명으로 옳은 것은?,① 최대 4000 byte의 가변 길이 문자 저장,② BC 4712년부터 AD 9999년까지의 날짜를 7byte로 저장,③ 날짜와 시간을 문자열로만 저장,④ 밀리초 단위까지 저장 가능,②,DATE 타입은 BC 4712년부터 AD 9999년까지의 날짜를 7byte로 저장합니다.
