번호,분류,테이블,쿼리,질문,선택지1,선택지2,선택지3,선택지4,정답,결과,해설
1,SELECT 기본,TB_EMPLOYEE,"SELECT NAME, SALARY
FROM TB_EMPLOYEE
WHERE DEPT = '개발';",위 쿼리의 실행 결과로 조회되는 행의 개수는?,① 1개,② 2개,③ 3개,④ 4개,②,"이영희, 4000000
최지영, 4500000",DEPT가 '개발'인 직원은 이영희와 최지영 2명입니다.
2,SELECT 기본,TB_PRODUCT,"SELECT COUNT(*)
FROM TB_PRODUCT
WHERE CATEGORY = '전자';",위 쿼리의 실행 결과는?,① 3,② 4,③ 5,④ 6,②,4,"CATEGORY가 '전자'인 제품은 노트북, 마우스, 키보드, 모니터 4개입니다."
3,집계함수,TB_EMPLOYEE,"SELECT MAX(SALARY)
FROM TB_EMPLOYEE;",위 쿼리의 실행 결과는?,① 3000000,② 3500000,③ 4000000,④ 4500000,④,4500000,최지영의 급여 4500000이 가장 높습니다.
4,집계함수,TB_PRODUCT,"SELECT SUM(STOCK)
FROM TB_PRODUCT
WHERE CATEGORY = '전자';",위 쿼리의 실행 결과는?,① 95,② 105,③ 115,④ 125,②,105,전자 제품의 재고 합계: 10 + 50 + 30 + 15 = 105
5,ORDER BY,TB_EMPLOYEE,"SELECT NAME
FROM TB_EMPLOYEE
ORDER BY SALARY DESC
LIMIT 1;",위 쿼리의 실행 결과는?,① 김철수,② 이영희,③ 박민수,④ 최지영,④,최지영,급여가 가장 높은 사람은 최지영(4500000)입니다.
6,WHERE 조건,TB_PRODUCT,"SELECT PROD_NAME
FROM TB_PRODUCT
WHERE PRICE >= 100000;",위 쿼리의 실행 결과로 조회되는 제품 개수는?,① 1개,② 2개,③ 3개,④ 4개,②,"노트북, 모니터","가격이 100000원 이상인 제품은 노트북(150000), 모니터(200000) 2개입니다."
7,집계함수,TB_EMPLOYEE,"SELECT AVG(SALARY)
FROM TB_EMPLOYEE
WHERE DEPT = '영업';",위 쿼리의 실행 결과는?,① 3000000,② 3250000,③ 3500000,④ 3750000,②,3250000,영업부 직원의 평균 급여: (3000000 + 3500000) / 2 = 3250000
8,DISTINCT,TB_EMPLOYEE,"SELECT DISTINCT DEPT
FROM TB_EMPLOYEE;",위 쿼리의 실행 결과로 조회되는 행의 개수는?,① 2개,② 3개,③ 4개,④ 5개,②,"영업, 개발, 인사","부서는 영업, 개발, 인사 3가지입니다."
9,LIKE 연산자,TB_EMPLOYEE,"SELECT COUNT(*)
FROM TB_EMPLOYEE
WHERE NAME LIKE '%수';",위 쿼리의 실행 결과는?,① 1,② 2,③ 3,④ 4,②,2,"이름이 '수'로 끝나는 직원은 김철수, 박민수 2명입니다."
10,BETWEEN,TB_PRODUCT,"SELECT COUNT(*)
FROM TB_PRODUCT
WHERE PRICE BETWEEN 20000 AND 100000;",위 쿼리의 실행 결과는?,① 2,② 3,③ 4,④ 5,②,3,"가격이 20000~100000 사이인 제품: 마우스(20000), 키보드(35000), 의자(80000) 3개입니다."
11,GROUP BY,TB_EMPLOYEE,"SELECT DEPT, COUNT(*)
FROM TB_EMPLOYEE
GROUP BY DEPT;",위 쿼리의 실행 결과로 조회되는 행의 개수는?,① 1개,② 2개,③ 3개,④ 5개,③,"영업, 2
개발, 2
인사, 1","부서별로 그룹화하면 영업, 개발, 인사 3개 그룹이 생성됩니다."
12,GROUP BY,TB_EMPLOYEE,"SELECT DEPT, SUM(SALARY)
FROM TB_EMPLOYEE
GROUP BY DEPT
ORDER BY SUM(SALARY) DESC
LIMIT 1;",위 쿼리의 실행 결과에서 DEPT 컬럼의 값은?,① 영업,② 개발,③ 인사,④ 관리,②,"개발, 8500000",부서별 급여 합계가 가장 큰 부서는 개발(4000000 + 4500000 = 8500000)입니다.
13,HAVING,TB_EMPLOYEE,"SELECT DEPT, COUNT(*)
FROM TB_EMPLOYEE
GROUP BY DEPT
HAVING COUNT(*) >= 2;",위 쿼리의 실행 결과로 조회되는 부서의 개수는?,① 1개,② 2개,③ 3개,④ 4개,②,"영업, 2
개발, 2","직원이 2명 이상인 부서는 영업(2명), 개발(2명) 2개입니다."
14,GROUP BY,TB_PRODUCT,"SELECT CATEGORY, AVG(PRICE)
FROM TB_PRODUCT
GROUP BY CATEGORY;",위 쿼리에서 CATEGORY가 '전자'인 행의 AVG(PRICE) 값은?,① 80000,② 95000,③ 101250,④ 110000,③,"전자, 101250
가구, 80000",전자 제품의 평균 가격: (150000 + 20000 + 35000 + 200000) / 4 = 101250
15,GROUP BY,TB_ORDERS,"SELECT EMP_ID, COUNT(*) AS ORDER_CNT
FROM TB_ORDERS
GROUP BY EMP_ID
ORDER BY ORDER_CNT DESC
LIMIT 1;",위 쿼리의 실행 결과에서 EMP_ID 값은?,① 1,② 2,③ 3,④ 4,②,"2, 2",주문이 가장 많은 직원은 EMP_ID=2(이영희)로 2건입니다.
16,HAVING,TB_ORDERS,"SELECT PROD_ID, SUM(QUANTITY)
FROM TB_ORDERS
GROUP BY PROD_ID
HAVING SUM(QUANTITY) >= 3;",위 쿼리의 실행 결과로 조회되는 행의 개수는?,① 1개,② 2개,③ 3개,④ 4개,③,"101, 3
102, 5
103, 3","주문 수량 합계가 3개 이상인 제품: 101(3개), 102(5개), 103(3개) 3개입니다."
